DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,block,parcel,lot,price,deal_time
16.04.2023,2023-04-16T00:00:00,"ספיר 20, כוכב יאיר",ספיר 20,7363-47-10,קוטג' דו משפחתי,4,קרקע,87.50,"3,600,000",,,1995,,,7998851120,1,7363-47,False,94% ב 5.7 שנים,7363,47,10,3600000,2023-04-16
21.03.2023,2023-03-21T00:00:00,"גלגל 1, כוכב יאיר",גלגל 1,7364-16-5,קוטג' דו משפחתי,4.5,קרקע,89.40,"3,960,000",,,1990,,,7998103620,1,7364-16,False,129% ב 8.2 שנים,7364,16,5,3960000,2023-03-21
15.03.2023,2023-03-15T00:00:00,"אנקור 16, כוכב יאיר",אנקור 16,7370-101-1,קוטג' דו משפחתי,6,קרקע,104.10,"4,100,000",,,1995,,,7998024710,1,7370-101,False,74% ב 5.5 שנים,7370,101,1,4100000,2023-03-15
01.03.2023,2023-03-01T00:00:00,"ספיר 5, כוכב יאיר",ספיר 5,7363-44-5,קוטג' דו משפחתי,6,קרקע,120,"4,050,000",,,1995,,,7997507700,1,7363-44,False,,7363,44,5,4050000,2023-03-01
29.01.2023,2023-01-29T00:00:00,,,7372-62-3,מגורים,,,260,"2,300,000",,,,,,7997261675,2,7372-62,False,,7372,62,3,2300000,2023-01-29
11.12.2022,2022-12-11T00:00:00,"דרור 11, כוכב יאיר",דרור 11,7370-106-2,קוטג' דו משפחתי,6,קרקע,96.90,"4,485,000",,,1994,,,7945294630,1,7370-106,False,,7370,106,2,4485000,2022-12-11
08.12.2022,2022-12-08T00:00:00,"עפרוני 10, כוכב יאיר",עפרוני 10,7371-125-1,קוטג' חד משפחתי,4,ראשונה,129,"4,750,000",,,1993,,1,7945508675,1,7371-125,False,,7371,125,1,4750000,2022-12-08
24.11.2022,2022-11-24T00:00:00,,,8973-16-2,חניה,,מרתף,213.07,"1,666,000",,,0,,,7944273675,2,8973-16,False,,8973,16,2,1666000,2022-11-24
15.11.2022,2022-11-15T00:00:00,"כרמל 12, כוכב יאיר",כרמל 12,7369-53-2,דירה בבית קומות,6,קרקע,91.70,"5,000,000",,,1995,,,7944541280,1,7369-53,False,66% ב 5.9 שנים,7369,53,2,5000000,2022-11-15
03.11.2022,2022-11-03T00:00:00,"הדקלים 19, כוכב יאיר",הדקלים 19,7365-77-9,קוטג' דו משפחתי,7,קרקע,160,"486,000",,,1992,,,7944031290,1,7365-77,False,,7365,77,9,486000,2022-11-03
28.10.2022,2022-10-28T00:00:00,"עפרוני 19, כוכב יאיר",עפרוני 19,7371-110-1,קוטג' חד משפחתי,5,ראשונה,210,"5,313,000",,,1995,,1,7943718120,1,7371-110,False,,7371,110,1,5313000,2022-10-28
03.10.2022,2022-10-03T00:00:00,"גלבוע 11, כוכב יאיר",גלבוע 11,8928-22-1,דירה בבית קומות,7,ראשונה,337,"7,450,000",,,1991,,1,7942167870,1,8928-22,False,,8928,22,1,7450000,2022-10-03
29.09.2022,2022-09-29T00:00:00,"בית אל 85, כוכב יאיר",בית אל 85,8911-24-1,קוטג' חד משפחתי,7,ראשונה,263,"6,000,000",,,1991,,1,7942499825,1,8911-24,False,,8911,24,1,6000000,2022-09-29
28.09.2022,2022-09-28T00:00:00,"בארי 16, כוכב יאיר",בארי 16,8912-161-1,קוטג' חד משפחתי,6,ראשונה,180,"5,200,000",,,1986,,1,7942098645,1,8912-161,False,,8912,161,1,5200000,2022-09-28
