DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,block,parcel,lot,price,deal_time
16.04.2023,2023-04-16T00:00:00,"ספיר 20, כוכב יאיר",ספיר 20,7363-47-10,קוטג' דו משפחתי,4,קרקע,87.50,"3,600,000",,,1995,,,7998851120,1,7363-47,False,94% ב 5.7 שנים,7363,47,10,3600000,2023-04-16
21.03.2023,2023-03-21T00:00:00,"גלגל 1, כוכב יאיר",גלגל 1,7364-16-5,קוטג' דו משפחתי,4.5,קרקע,89.40,"3,960,000",,,1990,,,7998103620,1,7364-16,False,129% ב 8.2 שנים,7364,16,5,3960000,2023-03-21
15.03.2023,2023-03-15T00:00:00,"אנקור 16, כוכב יאיר",אנקור 16,7370-101-1,קוטג' דו משפחתי,6,קרקע,104.10,"4,100,000",,,1995,,,7998024710,1,7370-101,False,74% ב 5.5 שנים,7370,101,1,4100000,2023-03-15
01.03.2023,2023-03-01T00:00:00,"ספיר 5, כוכב יאיר",ספיר 5,7363-44-5,קוטג' דו משפחתי,6,קרקע,120,"4,050,000",,,1995,,,7997507700,1,7363-44,False,,7363,44,5,4050000,2023-03-01
11.12.2022,2022-12-11T00:00:00,"דרור 11, כוכב יאיר",דרור 11,7370-106-2,קוטג' דו משפחתי,6,קרקע,96.90,"4,485,000",,,1994,,,7945294630,1,7370-106,False,,7370,106,2,4485000,2022-12-11
08.12.2022,2022-12-08T00:00:00,"עפרוני 10, כוכב יאיר",עפרוני 10,7371-125-1,קוטג' חד משפחתי,4,ראשונה,129,"4,750,000",,,1993,,1,7945508675,1,7371-125,False,,7371,125,1,4750000,2022-12-08
15.11.2022,2022-11-15T00:00:00,"כרמל 12, כוכב יאיר",כרמל 12,7369-53-2,דירה בבית קומות,6,קרקע,91.70,"5,000,000",,,1995,,,7944541280,1,7369-53,False,66% ב 5.9 שנים,7369,53,2,5000000,2022-11-15
03.11.2022,2022-11-03T00:00:00,"הדקלים 19, כוכב יאיר",הדקלים 19,7365-77-9,קוטג' דו משפחתי,7,קרקע,160,"486,000",,,1992,,,7944031290,1,7365-77,False,,7365,77,9,486000,2022-11-03
28.10.2022,2022-10-28T00:00:00,"עפרוני 19, כוכב יאיר",עפרוני 19,7371-110-1,קוטג' חד משפחתי,5,ראשונה,210,"5,313,000",,,1995,,1,7943718120,1,7371-110,False,,7371,110,1,5313000,2022-10-28
01.09.2022,2022-09-01T00:00:00,"יסמין 19, כוכב יאיר",יסמין 19,7366-13-2,דירה בבית קומות,3,שניה,92,"915,000",,,1980,,1,7944145495,1,7366-13,False,,7366,13,2,915000,2022-09-01
11.08.2022,2022-08-11T00:00:00,"פסגות 18, כוכב יאיר",פסגות 18,7367-28-8,קוטג' חד משפחתי,6,קרקע,85.10,"3,950,000",,,1993,,,7940333375,1,7367-28,False,125% ב 2 שנים,7367,28,8,3950000,2022-08-11
08.08.2022,2022-08-08T00:00:00,"האילנות 50, כוכב יאיר",האילנות 50,7370-94-1,דירה בבית קומות,6,קרקע,83,"4,700,000",,,1995,,,7940467925,1,7370-94,False,113% ב 9.5 שנים,7370,94,1,4700000,2022-08-08
08.08.2022,2022-08-08T00:00:00,"קורנית 3, כוכב יאיר",קורנית 3,7371-28-1,קוטג' חד משפחתי,7,ראשונה,195,"4,750,000",,,1992,,1,7940878660,1,7371-28,False,,7371,28,1,4750000,2022-08-08
